node_id,MF: KIRC,MF: BRCA,MF: READ,MF: PRAD,MF: STAD,MF: HNSC,MF: LUAD,MF: THCA,MF: BLCA,MF: ESCA,MF: LIHC,MF: UCEC,MF: COAD,MF: LUSC,MF: CESC,MF: KIRP,METH: KIRC,METH: BRCA,METH: READ,METH: PRAD,METH: STAD,METH: HNSC,METH: LUAD,METH: THCA,METH: BLCA,METH: ESCA,METH: LIHC,METH: UCEC,METH: COAD,METH: LUSC,METH: CESC,METH: KIRP,GE: KIRC,GE: BRCA,GE: READ,GE: PRAD,GE: STAD,GE: HNSC,GE: LUAD,GE: THCA,GE: BLCA,GE: ESCA,GE: LIHC,GE: UCEC,GE: COAD,GE: LUSC,GE: CESC,GE: KIRP,ohnolog,essentiality_percentage,essentiality_oneCellLine,expressed_tissues_rnaseq,ppin_degree,ppin_hub,ppin_betweenness,ppin_clustering,complexes,mirna,ollivier_mean,ollivier_std,ollivier_min,ollivier_max,ollivier_median,ollivier_degree,forman_mean,forman_std,forman_min,forman_max,forman_median,forman_degree,positive_curvature_degree,negative_curvature_degree,curvature_homophily,label
NOS3,-0.33055896,0.49187177,-0.270532,-0.44828185,1.3377761,0.27755642,-0.023240946,-0.12334365,2.6460376,-0.35979557,0.3587564,0.5150316,-0.11489218,-0.3678864,1.9140035,-0.5667236,-0.4326122,1.3404905,0.12116117,0.3231972,1.2320635,2.7976425,1.105532,0.58792335,3.3908036,2.2185376,3.7297325,0.63875663,-0.15785767,2.759165,1.5577694,0.26418737,-0.18166783,-0.17507263,0.83511955,-0.5795356,0.1877192,0.20296946,-0.20571356,0.4322125,0.34876218,-0.61065716,-0.6090391,0.33938518,0.94356877,0.45944193,1.377542,1.4712449,1.1343614,-0.47307432,0.6519202,0.42205122,0.65252435,1.7625941,0.33733168,-0.079281926,0.72184783,-0.6557372,-0.801716,0.17677526,-0.7520561,-0.44779494,-0.6142189,0.6525244,-0.28765407,0.9949601,-1.8009102,0.1626325,-0.23798023,0.6525244,-0.42052144,1.0759503,1.004929,1.0
CDK4,-0.33055896,-0.5097135,-0.270532,-0.44828185,-0.21687742,0.5738732,0.011808244,-0.12334365,-0.4638414,-0.35979557,-0.45563754,-0.41807342,-0.3977495,-0.3678864,-0.5948769,0.28880513,-0.44214725,-0.45011193,-0.22766787,-0.50514716,-0.52392983,-0.4901883,-0.20934533,-0.3367989,-0.34879342,-0.58891064,-0.58200264,-0.34266695,-0.42172945,-0.5655508,-0.5733014,-0.22462583,-0.6016402,-0.43629363,0.29513732,-0.16632098,0.14488244,0.38552335,0.047380958,-0.31263033,-0.0739649,0.45936176,0.20124726,-0.67561054,0.58144426,0.36646459,-0.74940795,-0.4056679,-0.88155335,0.42580667,0.6519202,0.73729146,1.9092038,1.7625941,2.4032078,-0.56521255,1.7813646,2.5061135,-1.5174848,0.2442299,-1.6734933,-0.8898686,-1.3638922,1.9092038,-0.19079724,0.19635722,-0.598984,-0.2073296,-0.12861745,1.9092038,-0.47000965,2.6886606,0.18915354,1.0
FANCF,0.42245588,-0.17380875,-0.270532,0.34142956,-0.6200142,0.050048824,0.00088934106,-0.12334365,-0.4638414,-0.35979557,-0.45563754,-0.4183555,-0.3977495,-0.3678864,0.21920449,-0.5667236,-0.49135104,-0.52384776,-0.3162964,0.18104592,-0.332062,-0.3620351,-0.25188798,-0.47003558,-0.5547906,-0.5164685,-0.32514513,-0.37556535,-0.4529932,-0.5403572,-0.2611425,-0.4786971,-0.6262405,-0.088855125,0.07192626,-0.11261722,0.3086521,-0.54337007,0.09285763,-0.49042076,0.23731872,-0.76665664,0.118946336,-0.76589024,-0.2366816,-0.28869876,-0.6834906,-0.25346276,-0.88155335,-0.063156806,0.6519202,0.6742434,0.03604013,-0.5673456,-0.17109932,0.37839177,0.8848504,0.5091552,0.25054592,1.1520255,-0.47747073,1.4062214,0.21974425,0.036040153,0.12916724,2.143555,-1.3496608,0.57280785,0.61575514,0.036040153,0.17333746,-0.05891983,-0.06553385,1.0
PER1,1.1729667,-0.5097135,-0.270532,-0.44828185,-0.6200142,0.04262836,-0.0068287537,-0.12334365,1.0859506,0.8704185,0.36140466,0.512051,0.16285445,-0.3678864,0.239308,0.28438604,0.15108897,-0.31779504,0.07419727,-0.04564109,-0.52721334,-0.17314821,-0.4345658,-0.2322636,-0.17413878,-0.053223953,-0.47490102,0.101643465,0.06337398,-0.21840544,-0.20889929,0.36428356,-0.374892,2.115815,0.83372945,0.91797984,1.6383952,0.19532692,0.96713775,0.217444,1.8056799,0.86847013,-0.082084864,1.2312802,0.39667138,1.2122303,0.1924494,-0.31868428,1.1343614,-0.44244057,0.6519202,0.73729146,-0.20106916,-0.5673456,-0.15498859,-0.012296533,-0.17466643,2.572679,-1.40185,0.29200378,-0.5511937,-0.50164604,-1.6987419,-0.20106916,0.13925217,0.0297375,0.3246015,0.37978417,-0.040421642,-0.20106916,-0.42052144,0.000810178,0.18398783,1.0
XRCC6,-0.33055896,-0.174211,2.4670959,1.1290457,-0.6200142,-0.4742777,0.0035388402,-0.12334365,0.31263658,0.86887276,-0.45563754,-0.23226623,-0.11509728,0.9637354,-0.5948769,1.1307724,-0.5412076,-0.53082275,-0.36559108,-0.4740503,-0.63143814,-0.4463607,-0.58575636,-0.4007407,-0.48408,-0.47812122,-0.57148135,-0.45134544,-0.49767172,-0.5806827,-0.5515747,-0.5196368,-0.60073173,-0.7893922,-0.78119326,-0.62947464,-0.82389593,-0.55857307,-0.61984915,-0.6183894,-0.773835,-0.26327282,-0.19958577,-0.83270943,-0.70461285,-0.42304304,-0.776685,-0.53302723,-0.88155335,1.2816404,0.6519202,0.73729146,-0.41446754,-0.5673456,-0.18198982,1.0779966,3.3298893,1.9403088,0.15603003,1.8200666,-0.832262,0.81770575,0.5074407,-0.41446754,0.7744619,-0.59705555,0.94032514,0.5165093,0.73570144,-0.41446754,-0.32154492,-0.32770485,-0.033989742,1.0
MTOR,6.431554,1.4912331,-0.270532,1.1278782,0.9468827,0.56150043,3.8407958,0.14533868,1.0643303,0.86994255,-0.45563754,2.8392198,1.5699767,3.6224148,1.8911965,1.995923,-0.4237084,-0.46652728,-0.31490466,-0.3177725,-0.27621317,-0.36712617,-0.47502434,-0.39419594,-0.11828745,-0.47736824,-0.43033415,-0.0073331944,-0.3169942,-0.35593006,-0.54987806,-0.46224815,0.0713172,-0.6231251,-0.5935363,-0.24560328,-0.25312558,-0.6250973,-0.503969,-0.6640541,-0.7881899,-0.77922475,-0.25793576,-0.1751759,-0.71199536,-0.70376235,-0.4015758,-0.36379877,-0.88155335,3.0594316,0.6519202,0.73729146,1.5772507,1.7625941,1.4803935,-0.39489737,1.5368607,-0.12321496,-1.0326806,0.105477,-1.0797176,-0.4944659,-1.121116,1.5772507,-0.09123805,0.32648137,-0.3122086,0.1787178,0.023079336,1.5772507,-0.32154492,2.1809554,0.7001827,1.0
STAG1,2.6699994,1.8315421,-0.270532,0.33886933,0.9325086,0.5134983,-0.00021541574,0.14792368,1.0227871,0.8636098,-0.45563754,0.49317434,0.69248307,-0.3678864,-0.5948769,1.1293515,-0.51821977,-0.5652907,-0.4645916,-0.5178968,-0.6561309,-0.5118595,-0.5952856,-0.47762436,-0.6219552,-0.5206347,-0.5855749,-0.5064578,-0.4710974,-0.49347538,-0.52469736,-0.44372144,-0.6327678,-0.24011733,-0.42338085,-0.2473634,-0.1383032,-0.5900688,-0.42040348,0.1420669,-0.38794646,-0.67505515,-0.36217907,-0.14711311,-0.39662665,-0.8404998,-0.65536475,-0.34771436,1.1343614,-0.103206925,0.6519202,0.73729146,0.083462,-0.5673456,-0.10301624,0.456488,2.0258684,-0.18978028,0.119616166,2.0939832,-0.9504396,2.2926273,0.77858776,0.083462015,0.593281,0.3406772,0.08421622,0.7577889,0.70747876,0.083462015,0.37129042,-0.11864983,0.36896768,1.0
IKBKB,-0.33055896,1.1528771,-0.270532,-0.44828185,-0.23597193,1.3460732,0.009480676,-0.12334365,0.3086147,0.85744905,0.35041058,-0.24285905,-0.3977495,-0.3678864,-0.5948769,-0.5667236,-0.4898633,-0.54298687,-0.33724624,-0.46008515,-0.66102356,-0.54947656,-0.5613859,-0.30723393,-0.43161264,-0.62245214,-0.48818952,-0.40693235,-0.51698387,-0.42820045,-0.5247096,-0.5421513,-0.54144484,-0.72094303,-0.24487802,-0.71961045,-0.47416365,-0.3908941,-0.5619517,-0.29508737,-0.8031421,-0.7224725,-0.29284355,-0.5051586,-0.47358844,-0.8517708,-0.7985944,-0.4890383,1.1343614,-0.3698273,0.6519202,0.6742434,2.1700242,1.7625941,0.5300862,-0.44385362,2.8408813,-0.45604137,-0.7476668,0.44547504,-1.6223942,1.8316869,-0.6943426,2.170024,0.015443915,0.013585767,-0.20677646,1.3046894,0.037190665,2.170024,-0.12359198,2.8081205,0.8052967,1.0
CCNC,-0.33055896,-0.17550156,-0.270532,-0.44828185,-0.6200142,-0.21718696,0.012060447,-0.12334365,-0.4638414,-0.35979557,0.3506108,-0.23377961,-0.3977495,-0.3678864,1.8839458,-0.5667236,-0.5274671,-0.564712,-0.48103037,-0.4167777,-0.62837464,-0.5715054,-0.5634932,-0.38034412,-0.56578326,-0.5017744,-0.35414073,-0.48024833,-0.50338084,-0.47536194,-0.5608677,-0.29657385,-0.15388058,-0.60806596,-0.506073,-0.817126,-0.7435638,-0.68871206,-0.7167854,-0.0035354814,-0.7509578,-0.5865933,-0.7748877,-0.33196458,-0.42900464,-0.45098874,-0.5348432,-0.2926857,-0.88155335,0.5869581,0.6519202,0.73729146,-0.36704567,-0.5673456,-0.18042195,-0.03501102,2.1888711,-0.7555852,-0.7390981,-0.6372455,0.07748042,-1.0654488,-0.85370314,-0.3670457,0.18442418,-0.56107634,0.50172746,-0.0062632365,0.086580314,-0.3670457,-0.47000965,-0.17837983,0.43201783,1.0
SOX2,-0.33055896,-0.5097135,-0.270532,-0.44828185,-0.21977824,0.31323844,-0.47849283,0.14823022,0.31667233,0.883259,0.36568344,0.5493887,1.021337,-0.3678864,1.906012,-0.5667236,-0.0163073,0.0053593307,-0.41091147,-0.51869106,0.3348304,-0.27582362,-0.5882062,0.44989222,-0.5511764,-0.31411445,-0.40188378,0.1283588,0.8697872,-0.3993171,-0.52775735,-0.44788444,1.37112,-0.013899698,2.329125,1.937536,2.0022094,-0.09294403,0.2422163,1.0747466,-0.5469479,-0.49724707,-0.2577104,-0.07773976,1.4746512,3.8018188,3.814608,1.1669997,1.1343614,-0.18937938,0.6519202,-1.2802463,-0.20106916,-0.5673456,0.08034331,-0.64830095,1.2108556,-0.18978028,-1.2448987,0.29129267,-0.85288334,-0.647044,-1.3917757,-0.20106916,0.7331418,-0.63847554,0.85597944,0.49238133,0.6369221,-0.20106916,-0.47000965,0.03067518,0.13252579,1.0
MSH2,0.41949496,-0.17449917,-0.270532,1.1028293,0.9629426,0.29843867,0.45389143,0.6663448,1.0160203,-0.35979557,-0.45563754,0.30268618,-0.11452368,-0.3678864,0.8934665,0.2804979,-0.5294748,-0.5876808,-0.5540412,-0.45956528,-0.6255535,-0.53741693,-0.5928047,-0.41528425,-0.58003813,-0.60822403,-0.56590253,-0.4886668,-0.49858865,-0.5083651,-0.557081,-0.52538204,-0.63704705,-0.579515,-0.12335433,-0.6037383,0.77676606,-0.26807877,0.0069544194,-0.6812469,-0.056169134,0.56737673,1.0961908,0.09044083,-0.021618314,0.07648533,0.1997765,-0.6376393,-0.88155335,-0.503708,-1.53393,0.73729146,-0.48560035,-0.5673456,-0.18233554,-0.8300165,2.5148761,-0.5558893,0.36812162,-1.0986413,0.9574289,-0.43343467,0.24549487,-0.48560032,0.5468509,-0.82749385,0.91080415,0.1787178,0.4111409,-0.48560032,-0.32154492,-0.41729987,-1.131765,1.0
