,MF: KIRC,MF: BRCA,MF: READ,MF: PRAD,MF: STAD,MF: HNSC,MF: LUAD,MF: THCA,MF: BLCA,MF: ESCA,MF: LIHC,MF: UCEC,MF: COAD,MF: LUSC,MF: CESC,MF: KIRP,METH: KIRC,METH: BRCA,METH: READ,METH: PRAD,METH: STAD,METH: HNSC,METH: LUAD,METH: THCA,METH: BLCA,METH: ESCA,METH: LIHC,METH: UCEC,METH: COAD,METH: LUSC,METH: CESC,METH: KIRP,GE: KIRC,GE: BRCA,GE: READ,GE: PRAD,GE: STAD,GE: HNSC,GE: LUAD,GE: THCA,GE: BLCA,GE: ESCA,GE: LIHC,GE: UCEC,GE: COAD,GE: LUSC,GE: CESC,GE: KIRP,ohnolog,essentiality_percentage,essentiality_oneCellLine,expressed_tissues_rnaseq,ppin_degree,ppin_hub,ppin_betweenness,ppin_clustering,complexes,mirna,ollivier_mean,ollivier_std,ollivier_min,ollivier_max,ollivier_median,ollivier_degree,forman_mean,forman_std,forman_min,forman_max,forman_median,forman_degree,positive_curvature_degree,negative_curvature_degree,curvature_homophily,labels
PAF1,0.41688302,-0.15592581,-0.36630076,0.37683204,-0.22425412,0.50326395,0.597909,-0.4201376,0.36326116,-0.43505645,-0.5232038,-0.25362262,-0.6455928,-0.40537044,-0.5805805,0.33225876,-0.54666597,-0.5108164,-0.5064372,-0.26666924,-0.4192804,-0.31639966,-0.16002348,-0.17860891,-0.39700982,-0.2795132,-0.38986742,-0.3216718,-0.27669382,-0.3236013,-0.40064937,-0.11124005,-0.6256007,-0.6146805,-0.63156754,-0.7460207,-0.34808037,-0.5686029,-0.64944506,-0.6128581,-0.5461678,-0.7407232,-0.7296426,-0.72044396,-0.7651108,-0.776728,-0.7057351,-0.3580521,-0.82917017,2.2336168,0.6653069,0.7038051,0.19579574,1.7305322,-0.16446899,0.60526544,0.41350842,-0.62118703,-0.018547434,0.90120786,-0.5140034,0.87280434,-0.04604037,0.19579574,-0.65599406,2.526856,-2.5988812,0.49844724,-0.048990507,0.19579574,0.08606743,0.23980153,0.32304472,0.0
AEBP2,-0.31004956,-0.48673418,-0.36630076,-0.4674756,-0.69487053,-0.6517486,-0.51688725,-0.4201376,-0.46643153,1.1641889,-0.5232038,0.92274696,-0.6455928,-0.40537044,0.24062777,-0.5959015,-0.59140253,-0.58059657,-0.55503863,-0.54635394,-0.64721,-0.56381303,-0.5884921,-0.48959172,-0.624069,-0.6098404,-0.57850355,-0.5331182,-0.51803577,-0.59328014,-0.5721813,-0.5508443,-0.45657018,-0.06618299,-0.7110185,0.016411103,-0.32720843,-0.6566519,-0.8074849,-0.56725425,-0.18609975,-0.4832897,-0.78017247,-0.16722141,-0.6482947,-0.2874339,-0.61710745,-0.40958542,-0.82917017,-0.17484689,0.6653069,0.7038051,-0.21008061,-0.5778569,-0.19450742,0.61232626,-0.07648803,-0.417188,0.103949815,-0.0862192,0.41995665,0.47089893,-0.10169001,-0.21008061,0.38859615,-0.35509512,0.45010036,0.157269,0.26914188,-0.21008061,-0.123394154,-0.21412835,0.16684528,0.0
TBP,0.41585612,-0.15617087,-0.36630076,-0.4674756,1.159065,0.11186046,-0.51688725,0.63598496,0.35248116,-0.43505645,-0.5232038,-0.5043967,0.35700858,1.1497176,0.24551201,-0.5959015,-0.51116604,-0.52755874,-0.4314561,-0.29775408,-0.6396221,-0.41440377,-0.5429475,-0.26354414,-0.19782549,-0.6084017,-0.3596186,-0.29971388,-0.51429695,-0.43419394,-0.44994804,-0.53781617,-0.64178807,-0.5951921,-0.7225092,-0.6759536,-0.78878313,-0.46195748,-0.61883396,-0.36640197,-0.7899183,-0.61040616,-0.27215222,-0.6962427,-0.7274639,-0.7066486,-0.6220432,-0.62978154,1.2060251,0.82415,0.6653069,0.7038051,1.6229094,1.7305322,0.44735384,-0.6382984,5.6074705,-0.72318655,-0.5098535,-0.054760467,-0.61403203,-0.30615747,-0.47662392,1.6229094,-0.41978824,0.21853858,-0.56622684,0.30705455,-0.50001365,1.6229094,0.57481116,2.1749763,0.043205213,0.0
RPS20,-0.31004956,-0.48673418,-0.36630076,-0.4674756,-0.22848627,-0.6517486,-0.51688725,-0.4201376,-0.46643153,-0.43505645,-0.5232038,-0.74412304,-0.6455928,-0.40537044,-0.5805805,0.32796857,-0.30303207,-0.48458716,-0.1402615,-0.2930526,-0.4230596,-0.073988736,-0.58353174,-0.26298666,-0.014871815,-0.46662384,-0.41865,-0.21101551,-0.22217464,-0.5622631,-0.3187659,-0.1782705,0.011798975,-0.12819421,-0.37822324,-0.47746134,-0.5444026,-0.68511283,-0.7378779,-0.2754529,-0.7475448,-0.5642344,-0.28240725,-0.49763325,-0.274279,-0.863276,-0.11869264,-0.04783608,-0.82917017,2.9614553,0.6653069,0.7038051,2.5394044,1.7305322,0.09906934,-0.046001427,1.5894998,-0.7911863,0.31060043,0.6872955,-1.0635371,0.75683326,0.36329237,2.5394044,0.31235266,1.0312687,-1.7749188,1.7882674,0.16444008,2.5394044,2.826523,0.7654045,0.70147026,0.0
SNRNP200,1.1423843,1.4943429,1.7464492,2.0540614,-0.69487053,-0.26730418,1.1072911,0.66335773,0.36005694,1.1638135,-0.5232038,0.7159553,1.3564663,2.6961331,1.0833787,0.3313757,-0.3496254,-0.5408497,0.0032643683,-0.4404716,-0.29432374,-0.29508647,-0.16100231,-0.16046825,-0.26848423,-0.38076994,-0.44088307,-0.15038764,-0.16891235,-0.061300375,-0.4781096,-0.3660428,-0.49152297,-0.7118291,-0.26471803,-0.78068995,-0.10755116,-0.61584985,-0.28049767,-0.65566885,-0.7320665,-0.428712,-0.13947591,-0.7425055,-0.3644327,-0.3803604,-0.7857492,-0.49354488,-0.82917017,4.7221637,0.6653069,0.7038051,1.8323939,1.7305322,-0.069369,0.91130745,0.80550545,-0.5531874,1.1206099,0.03139001,0.07527191,0.8525315,1.2923217,1.832394,1.409717,0.2736658,0.40521523,1.5136606,1.5295904,1.832394,2.5821514,-0.1902373,0.2488802,0.0
SUPT5H,1.1374288,0.8329386,3.7755904,1.2281753,0.6417042,0.11017525,-0.51688725,-0.4201376,0.3567614,-0.43505645,-0.5232038,0.43205184,0.8478976,1.1396602,-0.5805805,0.3265286,0.45593378,0.44305557,2.9809074,2.3268442,2.2656083,2.3898242,0.40687266,0.82012105,3.6508062,1.5961943,1.8653332,1.7405013,2.818824,2.90736,1.3026166,-0.3334106,-0.4734315,-0.68320805,-0.53898746,-0.4119134,-0.5095166,-0.51374894,-0.49100283,-0.53028935,-0.6562389,-0.6695459,-0.24901393,-0.69156766,-0.5548169,-0.6837436,-0.7963907,-0.64500636,-0.82917017,3.7983513,0.6653069,0.7038051,0.6933216,1.7305322,-0.17569906,0.35193676,3.5494854,-0.417188,0.2241801,-0.042235285,-0.09122682,0.78405595,0.32844144,0.6933216,0.30833277,0.12804179,0.20643832,0.73976845,0.39397863,0.6933216,0.819183,0.14423734,0.29061913,0.0
GNB4,-0.31004956,-0.48673418,-0.36630076,-0.4674756,-0.69487053,-0.6517486,0.03964533,-0.4201376,-0.46643153,-0.43505645,-0.5232038,0.46831116,0.35763758,-0.40537044,-0.5805805,-0.5959015,1.7556995,0.71682775,2.5991683,-0.2615796,3.7029243,-0.4963216,0.6963272,-0.48028705,0.27763933,1.3184018,2.6740437,-0.09633705,2.6144087,-0.13643692,-0.5105132,0.11296298,-0.2847558,-0.5254891,0.75094616,-0.038089965,-0.7596789,-0.056730162,0.30337995,-0.34872544,0.123950854,-0.6276313,0.72208875,-0.27255157,0.08705433,-0.3344639,-0.45296034,0.03115085,1.2060251,-0.4413128,0.6653069,0.5101375,5.616209,1.7305322,0.61276937,-0.49512634,3.9414825,0.09280955,-0.24043442,0.122741245,-0.7414497,0.826243,-0.23316167,5.616209,-0.5968264,1.559784,-1.3453041,3.8769438,-0.85438895,5.616209,4.4847608,4.110151,-1.4490416,0.0
MTA3,-0.31004956,-0.15622385,-0.36630076,-0.4674756,0.2191784,0.11169492,0.5630762,-0.4201376,-0.46643153,-0.43505645,-0.5232038,-0.25919735,-0.14842373,-0.40537044,-0.5805805,0.33210894,-0.39260533,-0.5142534,-0.46453968,-0.30858856,-0.04588046,-0.46725893,-0.4628493,-0.3743819,-0.49985275,-0.29450044,-0.42475995,-0.4644428,-0.14674807,-0.49947312,-0.54261965,-0.31043833,-0.520141,-0.2568187,-0.623782,-0.80477345,-0.8352371,-0.6243838,0.39865625,-0.7171485,-0.6361233,-0.7759757,0.17879038,-0.24450622,-0.78630054,0.016412789,-0.7184078,-0.5799572,1.2060251,-0.4729906,0.6653069,0.7038051,0.03868234,-0.5778569,-0.17123707,0.47160384,0.021511242,1.7928015,0.108741365,0.06833789,0.072651595,0.4608985,-0.031562917,0.038682315,0.3040355,0.0014104916,-0.15905474,0.32369742,0.22484496,0.038682315,0.016246906,0.048673157,-0.12970206,0.0
EXOC2,-0.31004956,0.50153035,-0.36630076,2.082611,-0.69487053,0.50294054,1.6974012,0.6634123,-0.46643153,1.169819,-0.5232038,0.4855903,0.3509976,-0.40537044,-0.5805805,-0.5959015,-0.43069622,0.05384924,-0.35366777,0.009167667,0.37230277,-0.24349092,-0.25018454,-0.42707777,-0.03168664,-0.41563395,-0.076473355,-0.22020125,-0.29328313,0.1837004,-0.43523726,-0.3411291,-0.51775336,-0.56493855,-0.63504887,-0.5881844,-0.42969677,-0.6402619,-0.6455755,-0.4651782,-0.8228826,-0.7582341,-0.25714424,-0.6561128,-0.56020707,-0.5830811,-0.61311466,-0.6089075,-0.82917017,0.20835608,0.6653069,0.7038051,-0.105338335,-0.5778569,0.17066053,-0.14409724,-0.07648803,0.058809694,-0.41703606,1.2547863,-0.98246723,0.67812353,-0.5857093,-0.10533833,0.053902954,0.6353309,-0.76500374,0.27376887,0.21679097,-0.10533833,-0.22812495,0.12034629,0.39318252,0.0
CCNT2,-0.31004956,-0.48673418,-0.36630076,-0.4674756,-0.69487053,0.11202091,-0.51688725,-0.4201376,-0.46643153,-0.43505645,-0.5232038,-0.026816444,-0.1529238,-0.40537044,1.9210559,0.3292931,-0.54664594,-0.43474972,-0.4258725,-0.53599304,-0.5645239,-0.45019692,-0.46499732,-0.33085176,-0.573949,-0.5468085,-0.5422212,-0.41032535,-0.508538,-0.46357858,-0.5610556,-0.54473937,-0.40080476,-0.37012643,-0.65952015,-0.6664411,-0.23451877,-0.25068814,-0.47090378,-0.45258585,-0.7167034,-0.5392015,-0.5881039,-0.5531598,-0.72738916,-0.7242278,-0.7352056,-0.36553997,1.2060251,-0.21465291,0.6653069,0.7038051,0.88971335,1.7305322,-0.054741226,0.032406587,1.7854983,1.894801,0.011461983,0.35021082,-0.55073285,0.7502309,0.25076336,0.8897134,0.1149473,0.38309285,-0.63996667,0.8978754,0.26511487,0.8897134,0.8366381,0.478712,0.20491153,0.0
